ray_x                  ray_y                    Time                     abs_prob
0.02                     -0.185                   6.000000000000001E-9     0.7783537181224688
0.02                     -0.175                   6.000000000000001E-9     0.7558911118846042
0.02                     -0.165                   6.000000000000001E-9     0.7602488565721724
0.02                     -0.155                   6.000000000000001E-9     0.771619382768538
0.02                     -0.145                   5.0E-9                   0.6927436868199801
0.02                     -0.135                   4.0E-9                   0.6157563342746782
0.02                     -0.125                   3.5000000000000003E-9    0.606258340720962
0.02                     -0.115                   2.0E-9                   0.589490623362653
0.02                     -0.105                   6.000000000000001E-9     0.6063195673129044
0.02                     -0.095                   6.000000000000001E-9     0.69643040268161
0.02                     -0.085                   6.000000000000001E-9     0.7626069443818261
0.02                     -0.075                   6.000000000000001E-9     0.7609390223102077
0.02                     -0.065                   6.000000000000001E-9     0.7596518271397898
0.02                     -0.055                   6.000000000000001E-9     0.7636117286853398
0.02                     -0.045                   6.000000000000001E-9     0.7243668691080767
0.02                     -0.035                   6.000000000000001E-9     0.6193274515709543
0.02                     -0.025                   2.0E-9                   0.5878941897124467
0.02                     -0.015                   2.0E-9                   0.5878645252974835
0.02                     -0.005                   2.0E-9                   0.5878429944021719
0.02                     0.005                    2.0E-9                   0.58784440941826
0.02                     0.015                    2.0E-9                   0.5878619278372461
0.02                     0.025                    2.0E-9                   0.5878938838124751
0.02                     0.035                    6.000000000000001E-9     0.6239127317194425
0.02                     0.045                    6.000000000000001E-9     0.7246548312270285
0.02                     0.055                    6.000000000000001E-9     0.7643814034794377
0.02                     0.065                    6.000000000000001E-9     0.7662159534142535
0.02                     0.075                    6.000000000000001E-9     0.7667472083544695
0.02                     0.085                    6.000000000000001E-9     0.7642864285763568
0.02                     0.095                    6.000000000000001E-9     0.7040029982415897
0.02                     0.105                    6.000000000000001E-9     0.6035430375837862
0.02                     0.115                    2.0E-9                   0.5926827858090917
0.02                     0.125                    3.0000000000000004E-9    0.6001693342358971
0.02                     0.135                    4.500000000000001E-9     0.6173613461104503
0.02                     0.145                    4.500000000000001E-9     0.702636546450952
0.02                     0.155                    6.000000000000001E-9     0.7715872966547958
0.02                     0.165                    6.000000000000001E-9     0.7648654497142715
0.02                     0.175                    6.000000000000001E-9     0.7796016297279377
0.02                     0.185                    6.000000000000001E-9     0.7632167284039345
0.02                     0.195                    6.000000000000001E-9     0.7743823601956062
0.02                     0.205                    6.000000000000001E-9     0.7787309604537479
0.02                     0.215                    6.000000000000001E-9     0.7639675583647746
0.02                     0.225                    6.000000000000001E-9     0.7544846955233497
0.02                     0.235                    5.0E-9                   0.645224554432378
0.02                     0.245                    4.500000000000001E-9     0.5763593857483361
0.03                     -0.245                   5.5000000000000004E-9    0.543190460499913
0.03                     -0.235                   6.000000000000001E-9     0.652586456373531
0.03                     -0.225                   6.000000000000001E-9     0.7400181065645925
0.03                     -0.215                   6.000000000000001E-9     0.7613711927787585
0.03                     -0.205                   6.000000000000001E-9     0.7766057188020147
0.03                     -0.195                   6.000000000000001E-9     0.7805395098778632
